id,time_submitted,weekday,time,hour
1,10/23/15 15:52,Fri,3:52 PM,15
2,10/2/15 19:58,Fri,7:58 PM,19
3,10/16/15 18:47,Fri,6:47 PM,18
4,10/3/15 5:49,Sat,5:49 AM,5
5,10/13/15 11:32,Tue,11:32 AM,11
6,10/28/15 20:43,Wed,8:43 PM,20
7,10/28/15 16:54,Wed,4:54 PM,16
8,10/5/15 14:45,Mon,2:45 PM,14
9,10/12/15 19:30,Mon,7:30 PM,19
10,10/21/15 8:59,Wed,8:59 AM,8
11,10/2/15 11:48,Fri,11:48 AM,11
12,10/23/15 22:16,Fri,10:16 PM,22
13,10/1/15 20:14,Thu,8:14 PM,20
14,10/6/15 13:13,Tue,1:13 PM,13
15,10/13/15 21:38,Tue,9:38 PM,21
16,10/2/15 14:43,Fri,2:43 PM,14
17,10/10/15 8:40,Sat,8:40 AM,8
18,10/15/15 2:49,Thu,2:49 AM,2
19,10/12/15 13:52,Mon,1:52 PM,13
20,10/8/15 18:54,Thu,6:54 PM,18
21,10/16/15 21:26,Fri,9:26 PM,21
22,10/23/15 2:05,Fri,2:05 AM,2
23,10/25/15 4:47,Sun,4:47 AM,4
24,10/12/15 18:00,Mon,6:00 PM,18
25,10/10/15 12:50,Sat,12:50 PM,12
26,10/27/15 2:22,Tue,2:22 AM,2
27,10/13/15 7:57,Tue,7:57 AM,7
28,10/1/15 21:38,Thu,9:38 PM,21
29,10/13/15 2:51,Tue,2:51 AM,2
30,10/7/15 0:45,Wed,12:45 AM,0
31,10/20/15 15:38,Tue,3:38 PM,15
32,10/17/15 7:12,Sat,7:12 AM,7
33,10/5/15 4:26,Mon,4:26 AM,4
34,10/9/15 20:45,Fri,8:45 PM,20
35,10/26/15 5:16,Mon,5:16 AM,5
36,10/18/15 5:59,Sun,5:59 AM,5
37,10/10/15 16:46,Sat,4:46 PM,16
38,10/22/15 9:48,Thu,9:48 AM,9
39,10/16/15 16:40,Fri,4:40 PM,16
40,10/21/15 0:13,Wed,12:13 AM,0
41,10/5/15 19:25,Mon,7:25 PM,19
42,10/12/15 7:13,Mon,7:13 AM,7
43,10/1/15 20:40,Thu,8:40 PM,20
44,10/25/15 12:59,Sun,12:59 PM,12
45,10/25/15 7:22,Sun,7:22 AM,7
46,10/26/15 18:07,Mon,6:07 PM,18
47,10/8/15 20:05,Thu,8:05 PM,20
48,10/15/15 14:59,Thu,2:59 PM,14
49,10/25/15 22:04,Sun,10:04 PM,22
50,10/3/15 22:39,Sat,10:39 PM,22
51,10/5/15 21:18,Mon,9:18 PM,21
52,10/19/15 1:09,Mon,1:09 AM,1
53,10/24/15 7:03,Sat,7:03 AM,7
54,10/10/15 22:41,Sat,10:41 PM,22
55,10/1/15 6:49,Thu,6:49 AM,6
56,10/14/15 3:40,Wed,3:40 AM,3
57,10/18/15 5:31,Sun,5:31 AM,5
58,10/9/15 18:04,Fri,6:04 PM,18
59,10/13/15 23:37,Tue,11:37 PM,23
60,10/13/15 16:51,Tue,4:51 PM,16
61,10/21/15 23:53,Wed,11:53 PM,23
62,10/11/15 20:57,Sun,8:57 PM,20
63,10/15/15 19:16,Thu,7:16 PM,19
64,10/21/15 13:25,Wed,1:25 PM,13
65,10/12/15 14:58,Mon,2:58 PM,14
66,10/8/15 6:52,Thu,6:52 AM,6
67,10/7/15 21:19,Wed,9:19 PM,21
68,10/24/15 18:14,Sat,6:14 PM,18
69,10/6/15 23:39,Tue,11:39 PM,23
70,10/22/15 6:43,Thu,6:43 AM,6
71,10/20/15 6:23,Tue,6:23 AM,6
72,10/14/15 18:58,Wed,6:58 PM,18
73,10/24/15 17:42,Sat,5:42 PM,17
74,10/20/15 17:33,Tue,5:33 PM,17
75,10/19/15 18:46,Mon,6:46 PM,18
76,10/2/15 12:00,Fri,12:00 PM,12
77,10/16/15 8:17,Fri,8:17 AM,8
78,10/27/15 6:25,Tue,6:25 AM,6
79,10/12/15 23:54,Mon,11:54 PM,23
80,10/15/15 11:14,Thu,11:14 AM,11
81,10/21/15 14:45,Wed,2:45 PM,14
82,10/2/15 22:15,Fri,10:15 PM,22
83,10/11/15 16:06,Sun,4:06 PM,16
84,10/7/15 10:13,Wed,10:13 AM,10
85,10/6/15 19:40,Tue,7:40 PM,19
86,10/26/15 14:53,Mon,2:53 PM,14
87,10/5/15 6:39,Mon,6:39 AM,6
88,10/12/15 2:13,Mon,2:13 AM,2
89,10/26/15 23:08,Mon,11:08 PM,23
90,10/1/15 19:57,Thu,7:57 PM,19
91,10/8/15 15:42,Thu,3:42 PM,15
92,10/22/15 18:47,Thu,6:47 PM,18
93,10/5/15 6:10,Mon,6:10 AM,6
94,10/15/15 8:11,Thu,8:11 AM,8
95,10/1/15 7:54,Thu,7:54 AM,7
96,10/5/15 8:47,Mon,8:47 AM,8
97,10/21/15 23:50,Wed,11:50 PM,23
98,10/21/15 16:56,Wed,4:56 PM,16
99,10/28/15 5:50,Wed,5:50 AM,5
100,10/9/15 6:29,Fri,6:29 AM,6
101,10/28/15 6:40,Wed,6:40 AM,6
102,10/16/15 22:34,Fri,10:34 PM,22
103,10/14/15 0:10,Wed,12:10 AM,0
104,10/3/15 14:18,Sat,2:18 PM,14
105,10/28/15 9:16,Wed,9:16 AM,9
106,10/14/15 20:15,Wed,8:15 PM,20
107,10/26/15 2:26,Mon,2:26 AM,2
108,10/21/15 13:27,Wed,1:27 PM,13
109,10/5/15 19:57,Mon,7:57 PM,19
110,10/3/15 15:05,Sat,3:05 PM,15
111,10/11/15 5:21,Sun,5:21 AM,5
112,10/10/15 21:29,Sat,9:29 PM,21
113,10/14/15 22:37,Wed,10:37 PM,22
114,10/25/15 17:45,Sun,5:45 PM,17
115,10/20/15 18:36,Tue,6:36 PM,18
116,10/2/15 14:49,Fri,2:49 PM,14
117,10/26/15 22:14,Mon,10:14 PM,22
118,10/18/15 10:20,Sun,10:20 AM,10
119,10/3/15 11:57,Sat,11:57 AM,11
120,10/16/15 12:36,Fri,12:36 PM,12
121,10/5/15 1:58,Mon,1:58 AM,1
122,10/10/15 17:45,Sat,5:45 PM,17
123,10/24/15 12:01,Sat,12:01 PM,12
124,10/12/15 16:17,Mon,4:17 PM,16
125,10/2/15 21:54,Fri,9:54 PM,21
126,10/25/15 18:44,Sun,6:44 PM,18
127,10/20/15 8:55,Tue,8:55 AM,8
128,10/13/15 16:46,Tue,4:46 PM,16
129,10/20/15 16:32,Tue,4:32 PM,16
130,10/16/15 18:26,Fri,6:26 PM,18
131,10/12/15 2:57,Mon,2:57 AM,2
132,10/1/15 11:25,Thu,11:25 AM,11
133,10/7/15 7:24,Wed,7:24 AM,7
134,10/11/15 12:24,Sun,12:24 PM,12
135,10/3/15 20:44,Sat,8:44 PM,20
136,10/3/15 9:05,Sat,9:05 AM,9
137,10/19/15 3:23,Mon,3:23 AM,3
138,10/27/15 5:15,Tue,5:15 AM,5
139,10/15/15 1:35,Thu,1:35 AM,1
140,10/4/15 18:07,Sun,6:07 PM,18
141,10/7/15 14:17,Wed,2:17 PM,14
142,10/11/15 6:53,Sun,6:53 AM,6
143,10/25/15 13:14,Sun,1:14 PM,13
144,10/12/15 2:05,Mon,2:05 AM,2
145,10/3/15 5:10,Sat,5:10 AM,5
146,10/6/15 7:35,Tue,7:35 AM,7
147,10/5/15 17:49,Mon,5:49 PM,17
148,10/7/15 14:53,Wed,2:53 PM,14
149,10/20/15 5:14,Tue,5:14 AM,5
150,10/23/15 12:47,Fri,12:47 PM,12
151,10/20/15 13:23,Tue,1:23 PM,13
152,10/21/15 16:30,Wed,4:30 PM,16
153,10/27/15 8:03,Tue,8:03 AM,8
154,10/27/15 23:09,Tue,11:09 PM,23
155,10/24/15 13:57,Sat,1:57 PM,13
156,10/22/15 9:07,Thu,9:07 AM,9
157,10/15/15 13:55,Thu,1:55 PM,13
158,10/3/15 17:54,Sat,5:54 PM,17
159,10/3/15 6:57,Sat,6:57 AM,6
160,10/15/15 23:13,Thu,11:13 PM,23
161,10/24/15 0:10,Sat,12:10 AM,0
162,10/23/15 23:25,Fri,11:25 PM,23
163,10/28/15 0:24,Wed,12:24 AM,0
164,10/27/15 12:47,Tue,12:47 PM,12
165,10/7/15 2:13,Wed,2:13 AM,2
166,10/11/15 2:57,Sun,2:57 AM,2
167,10/1/15 17:21,Thu,5:21 PM,17
168,10/25/15 18:10,Sun,6:10 PM,18
169,10/21/15 3:16,Wed,3:16 AM,3
170,10/23/15 18:51,Fri,6:51 PM,18
171,10/20/15 8:34,Tue,8:34 AM,8
172,10/4/15 19:57,Sun,7:57 PM,19
173,10/18/15 11:02,Sun,11:02 AM,11
174,10/24/15 11:21,Sat,11:21 AM,11
175,10/27/15 22:22,Tue,10:22 PM,22
176,10/1/15 19:29,Thu,7:29 PM,19
177,10/14/15 0:31,Wed,12:31 AM,0
178,10/22/15 11:57,Thu,11:57 AM,11
179,10/28/15 15:35,Wed,3:35 PM,15
180,10/4/15 21:06,Sun,9:06 PM,21
181,10/10/15 16:29,Sat,4:29 PM,16
182,10/23/15 8:35,Fri,8:35 AM,8
183,10/1/15 1:31,Thu,1:31 AM,1
184,10/17/15 0:28,Sat,12:28 AM,0
185,10/14/15 9:12,Wed,9:12 AM,9
186,10/16/15 12:33,Fri,12:33 PM,12
187,10/7/15 20:46,Wed,8:46 PM,20
188,10/25/15 6:14,Sun,6:14 AM,6
189,10/26/15 18:51,Mon,6:51 PM,18
190,10/19/15 4:31,Mon,4:31 AM,4
191,10/18/15 20:01,Sun,8:01 PM,20
192,10/12/15 9:27,Mon,9:27 AM,9
193,10/28/15 23:12,Wed,11:12 PM,23
194,10/15/15 10:01,Thu,10:01 AM,10
195,10/8/15 7:57,Thu,7:57 AM,7
196,10/28/15 21:18,Wed,9:18 PM,21
197,10/7/15 9:27,Wed,9:27 AM,9
198,10/27/15 19:49,Tue,7:49 PM,19
199,10/2/15 19:42,Fri,7:42 PM,19
200,10/24/15 5:55,Sat,5:55 AM,5
201,10/11/15 15:52,Sun,3:52 PM,15
202,10/1/15 0:19,Thu,12:19 AM,0
203,10/24/15 13:17,Sat,1:17 PM,13
204,10/10/15 2:32,Sat,2:32 AM,2
205,10/19/15 6:08,Mon,6:08 AM,6
206,10/4/15 18:04,Sun,6:04 PM,18
207,10/1/15 12:13,Thu,12:13 PM,12
208,10/2/15 18:30,Fri,6:30 PM,18
209,10/23/15 21:19,Fri,9:19 PM,21
210,10/3/15 14:17,Sat,2:17 PM,14
211,10/1/15 3:04,Thu,3:04 AM,3
212,10/2/15 11:16,Fri,11:16 AM,11
213,10/23/15 13:07,Fri,1:07 PM,13
214,10/26/15 22:49,Mon,10:49 PM,22
215,10/26/15 18:07,Mon,6:07 PM,18
216,10/26/15 14:59,Mon,2:59 PM,14
217,10/5/15 7:52,Mon,7:52 AM,7
218,10/28/15 15:25,Wed,3:25 PM,15
219,10/21/15 9:24,Wed,9:24 AM,9
220,10/13/15 15:45,Tue,3:45 PM,15
221,10/5/15 2:57,Mon,2:57 AM,2
222,10/5/15 18:28,Mon,6:28 PM,18
223,10/3/15 4:26,Sat,4:26 AM,4
224,10/25/15 7:16,Sun,7:16 AM,7
