1 | Strongplus | @strongplus.com | San Francisco, CA |  PST | technology | Gold | Yes
2 | Unitax | @unitax.com | New York, NY | EST | financial services |  Silver | Yes
3 | Icecan Corp | @icecan.com | Redwood City, CA | PST | technology | Bronze | No
4 | Ventotechno Holdings | @ventotechno.com | Priceton, NJ | EST | financial services | Gold |No
5 | Indigoplex | @indigoplex.com | San Diego, CA | PST | technology | Silver | Yes
6 | Geoline | @geoline.com | Boston, MA | EST | transportation | Bronze | Yes
7 | X-taxon | @xtaxon.com | Los Angeles, CA | PST | energy | Gold | No
8 | runhex | @runhex.com | New York, NY | EST | technology | Silver | Yes
9 | tanflex | @tanflex.com | Eugene, OR | PST | transportation | Bronze | Yes
10 | Tampcode LLC | @tampcode.com | Syracuse, NY | EST | financial services | Gold | No
11 | zimis media | @zimis.com | Seattle, WA | PST | media | Silver | Yes
12 | Keyline Partners | @keyline.com | Fairfield, CT | EST | consulting | Bronze | Yes
13 | Qvodexon International | @qvodexon.com | San Francisco, CA | PST | consulting | Gold | No
14 | vaiaway | @vaiaway.com | Brooklyn, NY | EST | transportation | Silver | No
15 | Zimplus | @zimplus.com | Foster City, CA | PST | energy | Bronze | Yes
16 | Groovelane | @grovelane.com |Chicago, IL | CT | transportation | Gold | Yes
17 | Silverbam | @silverbam.com | London, UK | GMT | media | Silver | No
18 | Plexfase | @plexfase.com | Ann Arbor, MI | CT | technology | Bronze | No
19 | Qvofan | @qvofan.com | Paris, France | CET | technology | Gold | Yes
20 | Iceit | @iceit.com | Detroit, MI | CT | energy | Silver | Yes
21 | Cityzimin | @cityzimin.com | Berlin, Germany | CET | transportation | Bronze | No
22 | sunzone | @sunzone.com | Chicago, IL | CT | energy | Gold | No
23 | Villanix | @villanix.com | London, UK | GMT | technology | Silver | Yes
24 | Voltcore | @voltcore.com | Paris, France | CET | consulting | Bronze | Yes 
25 | Opefan | @opefan.com | Chicago, IL | CT | consulting | Gold | No
26 | Kontrans | @kontrans.com | Munich, Germany | CET | transportation | Silver | No
27 | Bioquote | @bioquote.com | Madison, WI | CT | energy | Bronze | Yes
28 | Medialine | @medialine.com | London, UK | GMT | media | Gold | Yes
